UTC 2023-10-29 02:13:04.646829,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.648532,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.650310,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.652019,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.653697,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.655560,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.657224,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.658982,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.660661,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.662376,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.664090,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.665757,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.667502,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.669180,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.670967,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.672704,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.674482,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.676254,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.677948,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.679533,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.681374,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.683078,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.684710,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.686453,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.688157,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.689842,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.691603,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.693365,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.695143,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.696787,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.698570,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.700246,V:0.00	 Sampling FPS:580,0.00,580
