UTC 2023-10-29 02:07:09.772454,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.03,0.00,0.00,166,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.778859,In0: 0.07	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.07,0.01,0.00,0.00,142,PSI:0.014000000000000002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 02:07:09.784376,In0: -0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.02,0.01,0.00,0.00,200,PSI:-0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.789910,In0: 0.06	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.06,0.01,0.00,0.00,166,PSI:0.012,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.795893,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.802500,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.00,0.00,0.00,0.00,200,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.808893,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.00,0.01,0.00,0.00,125,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 02:07:09.814445,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.01,0.01,0.00,0.00,200,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 02:07:09.819996,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 02:07:09.825379,In0: 0.01	 In1: -0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,-0.01,0.00,0.00,200,PSI:0.002,PSI:-0.002,PSI:0.0,PSI:0.0,PSI:40.0
