UTC 2023-10-06 06:20:03.965964,In0: 5.06	 In1: 6.75	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.06,6.75,0.37,0.19,142,PSI:1.012,PSI:1.35,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.972776,In0: 5.06	 In1: 8.25	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.06,8.25,0.37,0.00,166,PSI:1.012,PSI:1.65,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.979589,In0: 5.44	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.44,7.31,0.19,0.19,142,PSI:1.088,PSI:1.462,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:03.986332,In0: 4.87	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,6.75,0.00,0.00,142,PSI:0.974,PSI:1.35,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.993147,In0: 5.06	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,6.37,0.19,0.00,142,PSI:1.012,PSI:1.274,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.999831,In0: 5.06	 In1: 6.56	 In0_1: 0.75	 In1_1: 0.00	 FPS: 166,5.06,6.56,0.75,0.00,166,PSI:1.012,PSI:1.3119999999999998,PSI:0.15,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:04.006649,In0: 5.25	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.19,0.00,142,PSI:1.05,PSI:1.424,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.013535,In0: 5.44	 In1: 6.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,6.56,0.19,0.00,142,PSI:1.088,PSI:1.3119999999999998,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:04.020177,In0: 5.25	 In1: 6.56	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.25,6.56,0.37,0.19,142,PSI:1.05,PSI:1.3119999999999998,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:20:04.026974,In0: 5.06	 In1: 7.31	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.06,7.31,0.56,-0.19,142,PSI:1.012,PSI:1.462,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:20:04.033710,In0: 5.25	 In1: 7.12	 In0_1: 0.56	 In1_1: 0.00	 FPS: 166,5.25,7.12,0.56,0.00,166,PSI:1.05,PSI:1.424,PSI:0.11200000000000002,PSI:0.0,PSI:33.2
