UTC 2023-10-28 22:38:36.151360,In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.01,0.01,142,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.783830,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.790719,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,0.00,-0.00,0.01,0.01,142,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.797529,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.804163,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,-0.00,-0.00,0.01,0.01,166,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.811027,In0: -0.00	 In1: 0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,0.00,0.01,0.01,142,PSI:-0.0,PSI:0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.817753,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.824540,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.831363,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.838129,In0: 0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 166,0.00,-0.00,0.01,0.01,166,PSI:0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:33.2
UTC 2023-10-28 22:38:36.845011,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
UTC 2023-10-28 22:38:36.851804,In0: -0.00	 In1: -0.00	 In0_1: 0.01	 In1_1: 0.01	 FPS: 142,-0.00,-0.00,0.01,0.01,142,PSI:-0.0,PSI:-0.0,PSI:0.002,PSI:0.002,PSI:28.4
