UTC 2023-10-06 04:48:16.381698,In0: 4.87	 In1: 538.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,538.31,0.19,0.00,142
UTC 2023-10-06 04:48:16.388383,In0: 5.25	 In1: 539.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,539.44,-0.19,0.00,142
UTC 2023-10-06 04:48:16.395302,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:16.402006,In0: 5.06	 In1: 536.06	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,536.06,0.00,-0.19,142
UTC 2023-10-06 04:48:16.408941,In0: 5.25	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,538.69,0.00,0.00,166
UTC 2023-10-06 04:48:16.415547,In0: 5.06	 In1: 537.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,537.19,0.00,-0.19,142
UTC 2023-10-06 04:48:16.422458,In0: 5.25	 In1: 536.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,536.81,0.19,0.00,142
UTC 2023-10-06 04:48:16.429120,In0: 4.87	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.31,0.00,0.00,142
UTC 2023-10-06 04:48:16.435921,In0: 4.87	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,538.31,0.00,0.00,166
UTC 2023-10-06 04:48:16.443708,In0: 5.06	 In1: 537.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,537.19,-0.19,0.00,142
UTC 2023-10-06 04:48:16.449444,In0: 5.06	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.50,0.00,0.00,142
UTC 2023-10-06 04:48:16.456394,In0: 4.87	 In1: 537.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,537.37,0.00,-0.19,142
UTC 2023-10-06 04:48:16.463085,In0: 4.87	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:16.469808,In0: 5.44	 In1: 536.81	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.44,536.81,0.00,0.19,166
UTC 2023-10-06 04:48:16.477122,In0: 4.87	 In1: 537.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,537.75,0.19,0.00,142
UTC 2023-10-06 04:48:16.483520,In0: 5.25	 In1: 539.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,539.81,0.19,0.00,142
UTC 2023-10-06 04:48:16.490181,In0: 5.25	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,538.50,0.00,0.00,142
UTC 2023-10-06 04:48:16.496948,In0: 4.69	 In1: 539.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.69,539.06,-0.19,0.00,166
UTC 2023-10-06 04:48:16.503737,In0: 4.87	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,537.37,0.00,0.00,166
UTC 2023-10-06 04:48:16.510803,In0: 5.06	 In1: 538.31	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,538.31,0.37,0.00,142
UTC 2023-10-06 04:48:16.517374,In0: 4.69	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:16.524174,In0: 5.06	 In1: 537.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,537.75,0.19,0.00,142
UTC 2023-10-06 04:48:16.530833,In0: 5.44	 In1: 536.25	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.44,536.25,-0.19,0.00,166
