UTC 2023-10-06 04:30:21.717506,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717540,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717577,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717612,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717664,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.717700,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717736,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717772,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717807,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717842,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717893,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.717934,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.717969,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718003,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718037,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718072,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718123,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.718156,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718189,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718222,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718260,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718293,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718348,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.718383,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718418,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718454,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718488,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718523,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.718572,Sampling FPS:625.00,625
