UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:12.189611,In0: 5.06	 In1: 534.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,534.00,0.19,0.00,166
UTC 2023-10-06 04:52:12.196535,In0: 5.06	 In1: 533.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,533.62,0.19,0.00,166
UTC 2023-10-06 04:52:12.203249,In0: 5.25	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,534.75,0.00,0.00,142
UTC 2023-10-06 04:52:12.210145,In0: 5.06	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.31,0.00,0.00,142
UTC 2023-10-06 04:52:12.216764,In0: 5.25	 In1: 533.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,533.62,0.00,0.00,142
UTC 2023-10-06 04:52:12.223590,In0: 4.87	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,534.75,0.00,0.19,166
UTC 2023-10-06 04:52:12.230414,In0: 4.87	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,534.37,0.00,0.00,142
UTC 2023-10-06 04:52:12.237135,In0: 5.06	 In1: 533.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.06,0.00,0.00,142
UTC 2023-10-06 04:52:12.244070,In0: 5.06	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.81,0.00,0.00,142
UTC 2023-10-06 04:52:12.250630,In0: 5.25	 In1: 534.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.94,0.19,0.00,142
UTC 2023-10-06 04:52:12.257382,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,535.12,0.00,0.00,166
UTC 2023-10-06 04:52:12.264215,In0: 5.06	 In1: 535.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.50,0.00,0.00,142
UTC 2023-10-06 04:52:12.270977,In0: 5.25	 In1: 534.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,534.19,0.00,0.19,142
UTC 2023-10-06 04:52:12.278075,In0: 5.44	 In1: 534.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,534.00,0.00,0.00,142
UTC 2023-10-06 04:52:12.284575,In0: 4.87	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,534.94,0.00,0.00,166
UTC 2023-10-06 04:52:12.291465,In0: 5.06	 In1: 534.00	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,534.00,0.00,-0.19,142
UTC 2023-10-06 04:52:12.298300,In0: 5.06	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.94,0.00,0.00,142
UTC 2023-10-06 04:52:12.304885,In0: 5.06	 In1: 535.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.50,0.00,0.00,142
UTC 2023-10-06 04:52:12.311835,In0: 5.06	 In1: 534.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,534.56,-0.19,0.00,142
UTC 2023-10-06 04:52:12.318472,In0: 5.06	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,534.75,0.00,0.00,166
UTC 2023-10-06 04:52:12.325372,In0: 4.87	 In1: 535.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.69,0.00,0.00,142
UTC 2023-10-06 04:52:12.332039,In0: 4.87	 In1: 535.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.87,0.00,0.00,142
UTC 2023-10-06 04:52:12.338790,In0: 4.69	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,534.56,0.00,0.00,142
UTC 2023-10-06 04:52:12.345693,In0: 4.87	 In1: 537.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,537.19,0.00,0.00,166
UTC 2023-10-06 04:52:12.352381,In0: 4.87	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.31,0.00,0.00,142
UTC 2023-10-06 04:52:12.359220,In0: 4.87	 In1: 535.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,535.50,0.00,-0.19,142
UTC 2023-10-06 04:52:12.365941,In0: 5.44	 In1: 535.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,535.50,0.00,-0.19,142
UTC 2023-10-06 04:52:12.372707,In0: 5.06	 In1: 535.50	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,535.50,-0.19,0.00,142
UTC 2023-10-06 04:52:12.379752,In0: 5.06	 In1: 535.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,535.31,-0.19,0.00,166
UTC 2023-10-06 04:52:12.386358,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,535.12,0.00,0.19,142
UTC 2023-10-06 04:52:12.393161,In0: 5.25	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,533.25,0.00,0.19,142
UTC 2023-10-06 04:52:12.399799,In0: 5.06	 In1: 536.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,536.44,0.19,0.00,142
UTC 2023-10-06 04:52:12.406618,In0: 5.06	 In1: 536.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,536.06,0.00,0.00,166
UTC 2023-10-06 04:52:12.413516,In0: 4.87	 In1: 535.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,535.31,0.19,0.00,166
UTC 2023-10-06 04:52:12.420198,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:12.427323,In0: 5.44	 In1: 535.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,535.87,0.00,0.00,142
UTC 2023-10-06 04:52:12.433709,In0: 5.25	 In1: 534.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.94,0.19,0.00,142
UTC 2023-10-06 04:52:12.440461,In0: 5.25	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,534.56,0.00,0.19,166
UTC 2023-10-06 04:52:12.447342,In0: 4.87	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:12.454020,In0: 5.25	 In1: 534.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.56,0.19,0.00,142
UTC 2023-10-06 04:52:12.460914,In0: 4.87	 In1: 535.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,535.50,0.00,0.00,142
