UTC 2023-10-29 02:09:46.793371,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.795138,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.796799,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.798633,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.800269,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.801983,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.803683,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.805435,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.807200,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.808907,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.810688,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.812393,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.814142,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.815801,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.817607,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.819184,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.820900,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.822665,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.824410,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.826087,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.827790,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.829644,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.831259,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.833065,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.834816,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.836432,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.838171,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.839870,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.841711,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.843320,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.845041,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.847056,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.848531,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.850183,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.851922,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.853656,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.855377,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.857085,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.858797,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.860526,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.862264,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.864083,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.865669,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.867385,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.869129,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.870848,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.872585,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.874396,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.876072,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.877748,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.879647,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.881479,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.883002,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.884654,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.886354,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.888104,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.889825,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.891529,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.893235,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.894986,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.896677,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.898465,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.900323,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.901916,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.903638,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.905430,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.907183,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.908870,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.910605,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.912366,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.914189,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.915667,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.917395,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.919119,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.920813,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.922564,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.924330,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.926021,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.927768,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.929543,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.931309,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.933082,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.934661,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.936477,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.938250,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.939911,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.941591,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.943382,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.945104,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.946922,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.948997,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.950162,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.951988,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.953665,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.955459,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.957199,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.958879,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.960645,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.962298,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.964074,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.965820,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.967570,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.969183,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.970887,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.972657,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.974366,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.976079,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.977825,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.979556,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.981195,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.983009,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.984771,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.986441,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.988209,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.989908,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.991632,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.993374,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.995109,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.996805,V:0.23	 Sampling FPS:580,0.23,580
