UTC 2023-10-06 01:06:27.139401,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139524,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139645,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139774,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.139895,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140015,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140138,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140263,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140383,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140504,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140647,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140775,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.140894,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141012,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141137,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141258,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141377,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141495,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141620,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141740,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141859,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.141973,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142084,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142187,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142293,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142406,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142511,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142619,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142724,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142831,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.142938,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143045,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143150,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143255,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143359,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143465,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143569,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143673,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143777,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143882,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.143988,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144094,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144197,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144301,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144405,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144509,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144615,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144721,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144825,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.144927,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.145031,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.148998,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.157166,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.165329,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.173544,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.181855,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.190032,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.198118,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.206364,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.214478,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.222947,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.231010,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.239314,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.247404,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.255742,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
UTC 2023-10-06 01:06:27.263984,CountsPS:0.00	 Sampling FPS:625.00,0.00,625.00
