UTC 2023-10-06 06:22:42.332213,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.37,0.00,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.339545,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.00,0.00,166,PSI:1.05,PSI:1.088,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.345638,In0: 5.06	 In1: 5.44	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.06,5.44,-0.19,-0.19,142,PSI:1.012,PSI:1.088,PSI:-0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.352412,In0: 5.25	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,5.62,0.19,0.19,142,PSI:1.05,PSI:1.124,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.359215,In0: 5.06	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.19	 FPS: 142,5.06,5.44,0.56,0.19,142,PSI:1.012,PSI:1.088,PSI:0.11200000000000002,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.366007,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.37,0.00,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.372768,In0: 5.44	 In1: 5.25	 In0_1: 0.37	 In1_1: -0.19	 FPS: 166,5.44,5.25,0.37,-0.19,166,PSI:1.088,PSI:1.05,PSI:0.074,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:22:42.379724,In0: 5.25	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,5.25,0.19,0.19,142,PSI:1.05,PSI:1.05,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.386277,In0: 5.06	 In1: 5.25	 In0_1: 0.75	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.75,0.19,142,PSI:1.012,PSI:1.05,PSI:0.15,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.393137,In0: 4.87	 In1: 5.44	 In0_1: -0.37	 In1_1: 0.00	 FPS: 142,4.87,5.44,-0.37,0.00,142,PSI:0.974,PSI:1.088,PSI:-0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.399936,In0: 5.06	 In1: 5.62	 In0_1: 0.75	 In1_1: -0.19	 FPS: 166,5.06,5.62,0.75,-0.19,166,PSI:1.012,PSI:1.124,PSI:0.15,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:22:42.406735,In0: 5.25	 In1: 5.44	 In0_1: 0.56	 In1_1: 0.19	 FPS: 166,5.25,5.44,0.56,0.19,166,PSI:1.05,PSI:1.088,PSI:0.11200000000000002,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:42.413546,In0: 5.25	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.19,0.00,142,PSI:1.05,PSI:1.05,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.420159,In0: 5.25	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.19,0.00,142,PSI:1.05,PSI:1.05,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.427349,In0: 5.06	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.19,0.00,142,PSI:1.012,PSI:1.124,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.433819,In0: 5.44	 In1: 5.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.44,5.44,0.19,0.00,166,PSI:1.088,PSI:1.088,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.440574,In0: 5.25	 In1: 5.25	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,5.25,0.19,0.19,142,PSI:1.05,PSI:1.05,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:42.447441,In0: 5.25	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.25,0.00,0.00,142,PSI:1.05,PSI:1.05,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.454104,In0: 5.06	 In1: 5.25	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.25,0.37,0.00,142,PSI:1.012,PSI:1.05,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.461058,In0: 5.44	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,5.44,0.00,0.00,166,PSI:1.088,PSI:1.088,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:22:42.467695,In0: 5.62	 In1: 5.06	 In0_1: -0.19	 In1_1: 0.19	 FPS: 166,5.62,5.06,-0.19,0.19,166,PSI:1.124,PSI:1.012,PSI:-0.038,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:42.474510,In0: 5.81	 In1: 5.44	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.81,5.44,0.56,-0.19,142,PSI:1.162,PSI:1.088,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:42.481328,In0: 5.62	 In1: 5.44	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.62,5.44,0.19,-0.19,142,PSI:1.124,PSI:1.088,PSI:0.038,PSI:-0.038,PSI:28.4
