UTC 2023-10-06 06:15:19.251133,In0_1: 0.19	 In1_1: -0.19	 FPS: 142,0.19,-0.19,142,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.834251,In0: 5.44	 In1: 6.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.44,6.19,-0.19,0.00,142,PSI:1.088,PSI:1.238,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.841147,In0: 5.44	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,6.00,0.00,0.00,166,PSI:1.088,PSI:1.2,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.847832,In0: 5.44	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.00,0.00,0.00,142,PSI:1.088,PSI:1.2,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.854531,In0: 5.44	 In1: 6.19	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.44,6.19,0.37,0.19,142,PSI:1.088,PSI:1.238,PSI:0.074,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.861517,In0: 5.62	 In1: 6.19	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.62,6.19,0.19,0.00,142,PSI:1.124,PSI:1.238,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.868181,In0: 5.25	 In1: 5.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,5.81,0.19,0.00,166,PSI:1.05,PSI:1.162,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.875155,In0: 5.25	 In1: 6.56	 In0_1: 0.37	 In1_1: -0.19	 FPS: 166,5.25,6.56,0.37,-0.19,166,PSI:1.05,PSI:1.3119999999999998,PSI:0.074,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:15:19.881966,In0: 5.44	 In1: 6.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,6.75,0.19,0.00,142,PSI:1.088,PSI:1.35,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.888700,In0: 5.44	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,6.37,0.19,0.00,142,PSI:1.088,PSI:1.274,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.895673,In0: 5.44	 In1: 6.94	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.44,6.94,-0.19,0.00,142,PSI:1.088,PSI:1.3880000000000001,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.902140,In0: 5.44	 In1: 6.37	 In0_1: 0.75	 In1_1: -0.19	 FPS: 166,5.44,6.37,0.75,-0.19,166,PSI:1.088,PSI:1.274,PSI:0.15,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:15:19.908747,In0: 5.44	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.44,5.62,0.19,0.00,142,PSI:1.088,PSI:1.124,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.915520,In0: 5.25	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.19,0.00,0.00,142,PSI:1.05,PSI:1.238,PSI:0.0,PSI:0.0,PSI:28.4
